timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2023-10-31T11:36:31,train_model,eaed3a3d-9da1-431a-ba2d-6047ff5b51aa,147.98273873329163,0.0018078331760666,1.221651384169154e-05,42.5,12.89678705730142,11.917622566223145,0.0017470184433791,0.0004822567746939,0.0004894823991096,0.0027187576171828,United States,USA,ohio,,,Windows-10-10.0.19045-SP0,3.10.6,2.3.1,12,Intel(R) Xeon(R) W-11855M CPU @ 3.20GHz,1.0,1 x NVIDIA RTX A2000 Laptop GPU,-81.5248,41.4712,31.78032684326172,machine,N,1.0
2023-10-31T11:40:20,train_model,acf01717-cf3b-4bdd-a90a-f06d71d8a3aa,154.73461174964905,0.0018929554533992,1.2233561916075329e-05,42.5,12.024877881977057,11.917622566223145,0.0018267280553778,0.000508265128834,0.0005117778154852,0.002846770999697,United States,USA,ohio,,,Windows-10-10.0.19045-SP0,3.10.6,2.3.1,12,Intel(R) Xeon(R) W-11855M CPU @ 3.20GHz,1.0,1 x NVIDIA RTX A2000 Laptop GPU,-81.5248,41.4712,31.78032684326172,machine,N,1.0
2023-10-31T13:10:59,train_model,0a783cc6-3110-4064-9e77-4b5730e9124e,148.28255152702332,0.001797564830745,1.212256474031253e-05,42.5,10.914651109143788,11.917622566223145,0.0017505578999718,0.000462345369876,0.0004904120253173,0.0027033152951651,United States,USA,ohio,,,Windows-10-10.0.19045-SP0,3.10.6,2.3.1,12,Intel(R) Xeon(R) W-11855M CPU @ 3.20GHz,1.0,1 x NVIDIA RTX A2000 Laptop GPU,-81.5248,41.4712,31.78032684326172,machine,N,1.0
2023-11-14T12:14:47,train_model,6fc29500-decb-4431-98c2-08aea45ee38b,26.54816246032715,8.279166242630279e-05,3.118545871113468e-06,14.0,0.0,2.888777732849121,0.000103219152424,0.0,2.1289273375742825e-05,0.0001245084257998,United States,USA,ohio,,,Linux-4.4.0-19041-Microsoft-x86_64-with-glibc2.35,3.10.12,2.3.1,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,-81.5248,41.4712,7.703407287597656,machine,N,1.0
2023-11-14T12:20:07,train_model,c79ffb65-7020-499c-a6ec-8d0dc7a7195c,12.54431414604187,3.912837858846431e-05,3.119212268835802e-06,14.0,0.0,2.888777732849121,4.878121031655206e-05,0.0,1.0063034132404028e-05,5.8844244448956094e-05,United States,USA,ohio,,,Linux-4.4.0-19041-Microsoft-x86_64-with-glibc2.35,3.10.12,2.3.1,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,-81.5248,41.4712,7.703407287597656,machine,N,1.0
2023-11-14T12:26:11,train_model,4e30ca7b-b332-439a-962c-e382120f3083,22.53130269050598,7.021923626017325e-05,3.1165191478148104e-06,14.0,0.0,2.888777732849121,8.755959934658475e-05,0.0,1.8041451669897127e-05,0.0001056010510164,United States,USA,ohio,,,Linux-4.4.0-19041-Microsoft-x86_64-with-glibc2.35,3.10.12,2.3.1,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,-81.5248,41.4712,7.703407287597656,machine,N,1.0
2023-11-14T12:54:15,train_model,52cd26ee-abc5-494b-b409-41a59623a52b,14.30374813079834,4.460665576134753e-05,3.118529168260591e-06,14.0,0.0,2.888777732849121,5.561064547962613e-05,0.0,1.1472250627012385e-05,6.708289610663851e-05,United States,USA,ohio,,,Linux-4.4.0-19041-Microsoft-x86_64-with-glibc2.35,3.10.12,2.3.1,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,-81.5248,41.4712,7.703407287597656,machine,N,1.0
